"","At","Ba","Bl","Cw","Dr","Fd","Hm","Hw","Lw","Mb","Pl","Pw","Py","Ss","Sx"
"At",1,-0.177833160416016,0.0614244971094155,0.00738403624175392,-0.264808096885715,0.338512381263188,-0.181631494322771,-0.0195119208781446,0.362733639530208,-0.190122846249204,0.297114685189073,0.137553113136326,0.0336665145906295,-0.220266118833942,0.304042058857697
"Ba",-0.177833160416016,1,-0.126658027528349,0.272569980833092,0.319117332203496,-0.134854805296234,0.402802421622664,0.41040119503069,-0.114718738726359,0.10070555428636,-0.235860730836388,0.0159898577815377,-0.103701995604894,0.478944324364891,-0.212112092662717
"Bl",0.0614244971094155,-0.126658027528349,1,-0.207928237300451,-0.356215849257458,-0.213036634950632,-0.0740707875018636,-0.108425365879652,0.0504011416850158,-0.275155186853119,0.295337548878391,-0.0548289558724728,-0.298714916616568,-0.278035503057589,0.736643165355183
"Cw",0.00738403624175392,0.272569980833092,-0.207928237300451,1,0.4836954409788,0.117098593789913,0.022382079961599,0.723872915933196,0.152737005453102,0.37968660002252,-0.280815677791776,0.406414682646175,-0.114840995533084,0.396249766389419,-0.217514328448957
"Dr",-0.264808096885715,0.319117332203496,-0.356215849257458,0.4836954409788,1,-0.0794418548779138,-0.0562924037962714,0.385065934929832,-0.144878401419351,0.640679320896866,-0.36198989946175,0.0627855440510073,-0.120467605352379,0.569595875913389,-0.453394740847333
"Fd",0.338512381263188,-0.134854805296234,-0.213036634950632,0.117098593789913,-0.0794418548779138,1,-0.185053922812355,0.0326422091797683,0.466740525123367,0.148327410599171,0.127545337294263,0.329237147317083,0.431469372222123,-0.198148633809892,-0.161938751418557
"Hm",-0.181631494322771,0.402802421622664,-0.0740707875018636,0.022382079961599,-0.0562924037962714,-0.185053922812355,1,0.188737383071413,-0.105932051179651,-0.069691555238247,-0.195134509250435,-0.0595481938654042,-0.0904270333794304,0.210421035209304,-0.156735031260232
"Hw",-0.0195119208781446,0.41040119503069,-0.108425365879652,0.723872915933196,0.385065934929832,0.0326422091797683,0.188737383071413,1,0.0613284595180832,0.232395335431287,-0.241172982111978,0.401024822976924,-0.1634515781929,0.41779226476806,-0.175038193751449
"Lw",0.362733639530208,-0.114718738726359,0.0504011416850158,0.152737005453102,-0.144878401419351,0.466740525123367,-0.105932051179651,0.0613284595180832,1,-0.0842961591301088,0.201646172269108,0.381012887725657,0.1948175052508,-0.120114602285881,0.107495629102402
"Mb",-0.190122846249204,0.10070555428636,-0.275155186853119,0.37968660002252,0.640679320896866,0.148327410599171,-0.069691555238247,0.232395335431287,-0.0842961591301088,1,-0.253309636212785,0.220166978194241,-0.0645321997394334,0.129584670718614,-0.303123055221994
"Pl",0.297114685189073,-0.235860730836388,0.295337548878391,-0.280815677791776,-0.36198989946175,0.127545337294263,-0.195134509250435,-0.241172982111978,0.201646172269108,-0.253309636212785,1,-0.0395828174502621,-0.161941797195226,-0.320373502152214,0.393383813207418
"Pw",0.137553113136326,0.0159898577815377,-0.0548289558724728,0.406414682646175,0.0627855440510073,0.329237147317083,-0.0595481938654042,0.401024822976924,0.381012887725657,0.220166978194241,-0.0395828174502621,1,0.0456194599173816,-0.0369832129210786,-0.0320469457441387
"Py",0.0336665145906295,-0.103701995604894,-0.298714916616568,-0.114840995533084,-0.120467605352379,0.431469372222123,-0.0904270333794304,-0.1634515781929,0.1948175052508,-0.0645321997394334,-0.161941797195226,0.0456194599173816,1,-0.102542239120813,-0.309634508309919
"Ss",-0.220266118833942,0.478944324364891,-0.278035503057589,0.396249766389419,0.569595875913389,-0.198148633809892,0.210421035209304,0.41779226476806,-0.120114602285881,0.129584670718614,-0.320373502152214,-0.0369832129210786,-0.102542239120813,1,-0.369199917059871
"Sx",0.304042058857697,-0.212112092662717,0.736643165355183,-0.217514328448957,-0.453394740847333,-0.161938751418557,-0.156735031260232,-0.175038193751449,0.107495629102402,-0.303123055221994,0.393383813207418,-0.0320469457441387,-0.309634508309919,-0.369199917059871,1
