bgc,ss_nospace,sppsplit,spp,suitability,newsuit,mod,outrange
SWBun,SWBun/x,At,At,2,3,,FALSE
SWBun,SWBun/x,Pli,Pl,2,3,,FALSE
SWBun,SWBun/x,Sw,Sx,2,3,,FALSE
SWBun,SWBun/x,Acb,Ac,5,5,,FALSE
SWBun,SWBun/x,Bl,Bl,3,5,,FALSE
SWBun,SWBun/x,Sb,Sb,3,5,,FALSE
SWBun,SWBun/m,At,At,2,3,,FALSE
SWBun,SWBun/m,Bl,Bl,2,3,,FALSE
SWBun,SWBun/m,Pli,Pl,2,3,,FALSE
SWBun,SWBun/m,Sb,Sb,2,3,,FALSE
SWBun,SWBun/m,Sw,Sx,2,2,,FALSE
SWBun,SWBun/m,Acb,Ac,5,5,,FALSE
SWBun,SWBun/h,Acb,Ac,5,3,,FALSE
SWBun,SWBun/h,Bl,Bl,3,5,,FALSE
SWBun,SWBun/h,Sb,Sb,3,3,,FALSE
SWBun,SWBun/h,Sw,Sx,3,2,,FALSE
SWBun,SWBun/h,Pli,Pl,3,5,,FALSE
SWBun,SWBun/h,At,At,3,5,,FALSE
