bgc,ss_nospace,sppsplit,feasible,spp,newfeas,mod,outrange,comments
SBSvz,SBSvz/101,,,Bl,1,EBL,FALSE,
SBSvz,SBSvz/101,,,Sx,1,EBL,FALSE,
SBSvz,SBSvz/101,,,Ep,1,EBL,FALSE,
SBSvz,SBSvz/101,,,At,2,EBL,FALSE,
SBSvz,SBSvz/101,,,Pl,2,EBL,FALSE,
SBSvz,SBSvz/101,,,Ac,3,EBL,FALSE,
SBSvz,SBSvz/102,,,Pl,2,EBL,FALSE,
SBSvz,SBSvz/102,,,At,3,EBL,FALSE,
SBSvz,SBSvz/102,,,Bl,3,EBL,FALSE,
SBSvz,SBSvz/102,,,Ep,3,EBL,FALSE,
SBSvz,SBSvz/102,,,Sx,3,EBL,FALSE,
SBSvz,SBSvz/103,,,Pl,1,EBL,FALSE,
SBSvz,SBSvz/103,,,At,2,EBL,FALSE,
SBSvz,SBSvz/103,,,Bl,2,EBL,FALSE,
SBSvz,SBSvz/103,,,Ep,2,EBL,FALSE,
SBSvz,SBSvz/103,,,Sx,2,EBL,FALSE,
SBSvz,SBSvz/104,,,Pl,1,EBL,FALSE,
SBSvz,SBSvz/104,,,Sx,1,EBL,FALSE,
SBSvz,SBSvz/104,,,Bl,1,EBL,FALSE,
SBSvz,SBSvz/104,,,Ep,2,EBL,FALSE,
SBSvz,SBSvz/104,,,At,3,EBL,FALSE,
SBSvz,SBSvz/105,,,At,1,EBL,FALSE,
SBSvz,SBSvz/105,,,Bl,1,EBL,FALSE,
SBSvz,SBSvz/105,,,Ep,1,EBL,FALSE,
SBSvz,SBSvz/105,,,Pl,1,EBL,FALSE,
SBSvz,SBSvz/105,,,Sx,1,EBL,FALSE,
SBSvz,SBSvz/105,,,Ac,2,EBL,FALSE,
SBSvz,SBSvz/110,,,Ac,1,EBL,FALSE,
SBSvz,SBSvz/110,,,Bl,1,EBL,FALSE,
SBSvz,SBSvz/110,,,Sx,1,EBL,FALSE,
SBSvz,SBSvz/110,,,At,3,EBL,FALSE,
SBSvz,SBSvz/110,,,Ep,3,EBL,FALSE,
SBSvz,SBSvz/110,,,Pl,3,EBL,FALSE,
SBSmz,SBSmz/101,,,At,1,EBL,FALSE,
SBSmz,SBSmz/101,,,Pl,1,EBL,FALSE,
SBSmz,SBSmz/101,,,Sx,1,EBL,FALSE,
SBSmz,SBSmz/101,,,Bl,1,EBL,FALSE,
SBSmz,SBSmz/101,,,Ep,2,EBL,FALSE,
SBSmz,SBSmz/101,,,Ac,3,EBL,FALSE,
SBSmz,SBSmz/102,,,Pl,2,EBL,FALSE,
SBSmz,SBSmz/102,,,At,3,EBL,FALSE,
SBSmz,SBSmz/102,,,Bl,3,EBL,FALSE,
SBSmz,SBSmz/102,,,Sx,3,EBL,FALSE,
SBSmz,SBSmz/102,,,Ep,4,EBL,FALSE,
SBSmz,SBSmz/103,,,At,3,EBL,FALSE,
SBSmz,SBSmz/103,,,Ep,3,EBL,FALSE,
SBSmz,SBSmz/103,,,Bl,4,EBL,FALSE,
SBSmz,SBSmz/103,,,Pl,4,EBL,FALSE,
SBSmz,SBSmz/104,,,Bl,2,EBL,FALSE,
SBSmz,SBSmz/104,,,Pl,2,EBL,FALSE,
SBSmz,SBSmz/104,,,Sb,2,EBL,FALSE,
SBSmz,SBSmz/104,,,Sx,2,EBL,FALSE,
SBSmz,SBSmz/104,,,Ep,3,EBL,FALSE,
SBSmz,SBSmz/104,,,At,4,EBL,FALSE,
SBSmz,SBSmz/110,,,Bl,1,EBL,FALSE,
SBSmz,SBSmz/110,,,Pl,1,EBL,FALSE,
SBSmz,SBSmz/110,,,Sx,1,EBL,FALSE,
SBSmz,SBSmz/110,,,Ac,2,EBL,FALSE,
SBSmz,SBSmz/110,,,At,2,EBL,FALSE,
SBSmz,SBSmz/110,,,Ep,2,EBL,FALSE,
SBSmz,SBSmz/111,,,Ac,1,EBL,FALSE,
SBSmz,SBSmz/111,,,Bl,1,EBL,FALSE,
SBSmz,SBSmz/111,,,Sx,1,EBL,FALSE,
SBSmz,SBSmz/111,,,Pl,2,EBL,FALSE,
SBSmz,SBSmz/111,,,At,3,EBL,FALSE,
SBSmz,SBSmz/111,,,Ep,4,EBL,FALSE,
SBSmz,SBSmz/112,,,Sx,1,EBL,FALSE,
SBSmz,SBSmz/112,,,Ac,2,EBL,FALSE,
SBSmz,SBSmz/112,,,Bl,2,EBL,FALSE,
SBSmz,SBSmz/112,,,Sb,3,EBL,FALSE,
SBSmz,SBSmz/112,,,Pl,3,EBL,FALSE,
SBSmz,SBSmz/113,,,Bl,2,EBL,FALSE,
SBSmz,SBSmz/113,,,Sb,2,EBL,FALSE,
SBSmz,SBSmz/113,,,Sx,2,EBL,FALSE,
SBSmz,SBSmz/113,,,Pl,3,EBL,FALSE,
SBSmz,SBSmz/114,,,Bl,2,EBL,FALSE,
SBSmz,SBSmz/114,,,Sb,2,EBL,FALSE,
SBSmz,SBSmz/114,,,Sx,2,EBL,FALSE,
SBSmz,SBSmz/114,,,Pl,3,EBL,FALSE,
