"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note"
"442","ESSFmm1","ESSFmm1/01","Hw",3,"Hw",NA,NA,FALSE,"ESSF","imputed"
"566","ESSFwc3","ESSFwc3/03","Ac",3,"Ac",NA,NA,FALSE,"ESSF","imputed"
"567","ESSFwc3","ESSFwc3/02","Ac",4,"Ac",NA,NA,FALSE,"ESSF","imputed"
"568","ESSFwc3","ESSFwc3/03","Pli",3,"Pl",NA,NA,FALSE,"ESSF","imputed"
"1834","IMAunp","IMAunp/00","Bl",2,"Bl",NA,NA,FALSE,NA,"imputed"
"1835","IMAunp","IMAunp/00","Pa",3,"Pa",NA,NA,FALSE,NA,"imputed"
"2225","SBSdh2","SBSdh2/07","Act",2,"Ac",NA,NA,FALSE,"SBS",NA
"2226","SBSdh2","SBSdh2/01","At",3,"At",NA,NA,FALSE,"SBS",NA
"2227","SBSdh2","SBSdh2/05","At",3,"At",NA,NA,FALSE,"SBS",NA
"2228","SBSdh2","SBSdh2/06","At",2,"At",NA,NA,FALSE,"SBS",NA
"2229","SBSdh2","SBSdh2/07","At",2,"At",NA,NA,FALSE,"SBS",NA
"2230","SBSdh2","SBSdh2/01","Bl",2,"Bl",NA,NA,FALSE,"SBS",NA
"2231","SBSdh2","SBSdh2/06","Bl",2,"Bl",NA,NA,FALSE,"SBS",NA
"2232","SBSdh2","SBSdh2/07","Bl",2,"Bl",NA,NA,FALSE,"SBS",NA
"2233","SBSdh2","SBSdh2/01","Ep",3,"Ep",NA,NA,FALSE,"SBS",NA
"2234","SBSdh2","SBSdh2/06","Ep",3,"Ep",NA,NA,FALSE,"SBS",NA
"2235","SBSdh2","SBSdh2/07","Ep",3,"Ep",NA,NA,FALSE,"SBS",NA
"2236","SBSdh2","SBSdh2/01","Fdi",3,"Fd",NA,NA,FALSE,"SBS",NA
"2237","SBSdh2","SBSdh2/03","Fdi",3,"Fd",NA,NA,FALSE,"SBS",NA
"2238","SBSdh2","SBSdh2/04","Fdi",3,"Fd",NA,NA,FALSE,"SBS",NA
"2239","SBSdh2","SBSdh2/06","Fdi",3,"Fd",NA,NA,FALSE,"SBS",NA
"2240","SBSdh2","SBSdh2/07","Fdi",5,"Fd",NA,NA,FALSE,"SBS",NA
"2241","SBSdh2","SBSdh2/01","Pli",1,"Pl",NA,NA,FALSE,"SBS",NA
"2242","SBSdh2","SBSdh2/02","Pli",2,"Pl",NA,NA,FALSE,"SBS",NA
"2243","SBSdh2","SBSdh2/03","Pli",1,"Pl",NA,NA,FALSE,"SBS",NA
"2244","SBSdh2","SBSdh2/04","Pli",1,"Pl",NA,NA,FALSE,"SBS",NA
"2245","SBSdh2","SBSdh2/05","Pli",1,"Pl",NA,NA,FALSE,"SBS",NA
"2246","SBSdh2","SBSdh2/06","Pli",1,"Pl",NA,NA,FALSE,"SBS",NA
"2247","SBSdh2","SBSdh2/07","Pli",3,"Pl",NA,NA,FALSE,"SBS",NA
"2248","SBSdh2","SBSdh2/08","Pli",3,"Pl",NA,NA,FALSE,"SBS",NA
"2249","SBSdh2","SBSdh2/03","Pw",3,"Pw",NA,NA,FALSE,"SBS",NA
"2250","SBSdh2","SBSdh2/01","Sb",2,"Sb",NA,NA,FALSE,"SBS","imputed"
"2251","SBSdh2","SBSdh2/06","Sb",2,"Sb",NA,NA,FALSE,"SBS","imputed"
"2252","SBSdh2","SBSdh2/05","Sb",3,"Sb",NA,NA,FALSE,"SBS",NA
"2253","SBSdh2","SBSdh2/08","Sb",1,"Sb",NA,NA,FALSE,"SBS",NA
"2254","SBSdh2","SBSdh2/01","Sxw",1,"Sx",NA,NA,FALSE,"SBS",NA
"2255","SBSdh2","SBSdh2/02","Sxw",3,"Sx",NA,NA,FALSE,"SBS",NA
"2256","SBSdh2","SBSdh2/04","Sxw",2,"Sx",NA,NA,FALSE,"SBS",NA
"2257","SBSdh2","SBSdh2/05","Sxw",3,"Sx",NA,NA,FALSE,"SBS",NA
"2258","SBSdh2","SBSdh2/06","Sxw",1,"Sx",NA,NA,FALSE,"SBS",NA
"2259","SBSdh2","SBSdh2/07","Sxw",1,"Sx",NA,NA,FALSE,"SBS",NA
"2260","SBSdh2","SBSdh2/08","Sxw",1,"Sx",NA,NA,FALSE,"SBS",NA
