"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",15870,"-","BECv10","SWBun","SWBun/-101","A3"
"2",15871,"-","BECv10","SWBun","SWBun/-101","A4"
"3",15872,"-","BECv10","SWBun","SWBun/-101","B3"
"4",15873,"-","BECv10","SWBun","SWBun/-101","B4"
"5",15874,"-","BECv10","SWBun","SWBun/-101","C3"
"6",15875,"-","BECv10","SWBun","SWBun/-101","C4"
"7",15876,"-","BECv10","SWBun","SWBun/-102","A0"
"8",15877,"-","BECv10","SWBun","SWBun/-102","B0"
"9",15878,"-","BECv10","SWBun","SWBun/-102","C0"
"10",15879,"-","BECv10","SWBun","SWBun/-102","D0"
"11",15880,"-","BECv10","SWBun","SWBun/-102","E0"
"12",15881,"-","BECv10","SWBun","SWBun/-103","A1"
"13",15882,"-","BECv10","SWBun","SWBun/-103","A2"
"14",15883,"-","BECv10","SWBun","SWBun/-103","B1"
"15",15884,"-","BECv10","SWBun","SWBun/-103","B2"
"16",15885,"-","BECv10","SWBun","SWBun/-103","C1"
"17",15886,"-","BECv10","SWBun","SWBun/-103","C2"
"18",15887,"-","BECv10","SWBun","SWBun/-104","D1"
"19",15888,"-","BECv10","SWBun","SWBun/-104","D2"
"20",15889,"-","BECv10","SWBun","SWBun/-104","E1"
"21",15890,"-","BECv10","SWBun","SWBun/-104","E2"
"22",15891,"-","BECv10","SWBun","SWBun/-110","D3"
"23",15892,"-","BECv10","SWBun","SWBun/-110","D4"
"24",15893,"-","BECv10","SWBun","SWBun/-110","E3"
"25",15894,"-","BECv10","SWBun","SWBun/-110","E4"
"26",15895,"-","BECv10","SWBun","SWBun/-111","A5"
"27",15896,"-","BECv10","SWBun","SWBun/-111","A6"
"28",15897,"-","BECv10","SWBun","SWBun/-111","B5"
"29",15898,"-","BECv10","SWBun","SWBun/-111","B6"
"30",15899,"-","BECv10","SWBun","SWBun/-111","C5"
"31",15900,"-","BECv10","SWBun","SWBun/-111","C6"
"32",15901,"-","BECv10","SWBun","SWBun/-112","D5"
"33",15902,"-","BECv10","SWBun","SWBun/-112","D6"
"34",15903,"-","BECv10","SWBun","SWBun/-112","E5"
"35",15904,"-","BECv10","SWBun","SWBun/-112","E6"
"36",15905,"-","BECv10","SWBun","SWBun/-113","A7"
"37",15906,"-","BECv10","SWBun","SWBun/-113","B7"
"38",15907,"-","BECv10","SWBun","SWBun/-114","C7"
"39",15908,"-","BECv10","SWBun","SWBun/-114","D7"
"40",15909,"-","BECv10","SWBun","SWBun/-114","E7"
"41",15910,"+","BECv10","SWBun","SWBun/h","A5"
"42",15911,"+","BECv10","SWBun","SWBun/h","A6"
"43",15912,"+","BECv10","SWBun","SWBun/h","A7"
"44",15913,"+","BECv10","SWBun","SWBun/h","B6"
"45",15914,"+","BECv10","SWBun","SWBun/h","B7"
"46",15915,"+","BECv10","SWBun","SWBun/h","C5"
"47",15916,"+","BECv10","SWBun","SWBun/h","C6"
"48",15917,"+","BECv10","SWBun","SWBun/h","C7"
"49",15918,"+","BECv10","SWBun","SWBun/h","D5"
"50",15919,"+","BECv10","SWBun","SWBun/h","D6"
"51",15920,"+","BECv10","SWBun","SWBun/h","D7"
"52",15921,"+","BECv10","SWBun","SWBun/h","E5"
"53",15922,"+","BECv10","SWBun","SWBun/h","E6"
"54",15923,"+","BECv10","SWBun","SWBun/h","E7"
"55",15924,"+","BECv10","SWBun","SWBun/m","A3"
"56",15925,"+","BECv10","SWBun","SWBun/m","A4"
"57",15926,"+","BECv10","SWBun","SWBun/m","B3"
"58",15927,"+","BECv10","SWBun","SWBun/m","B4"
"59",15928,"+","BECv10","SWBun","SWBun/m","B5"
"60",15929,"+","BECv10","SWBun","SWBun/m","C3"
"61",15930,"+","BECv10","SWBun","SWBun/m","C4"
"62",15931,"+","BECv10","SWBun","SWBun/m","D3"
"63",15932,"+","BECv10","SWBun","SWBun/m","D4"
"64",15933,"+","BECv10","SWBun","SWBun/m","E3"
"65",15934,"+","BECv10","SWBun","SWBun/m","E4"
"66",15935,"+","BECv10","SWBun","SWBun/x","A0"
"67",15936,"+","BECv10","SWBun","SWBun/x","A1"
"68",15937,"+","BECv10","SWBun","SWBun/x","A2"
"69",15938,"+","BECv10","SWBun","SWBun/x","B0"
"70",15939,"+","BECv10","SWBun","SWBun/x","B1"
"71",15940,"+","BECv10","SWBun","SWBun/x","B2"
"72",15941,"+","BECv10","SWBun","SWBun/x","C0"
"73",15942,"+","BECv10","SWBun","SWBun/x","C1"
"74",15943,"+","BECv10","SWBun","SWBun/x","C2"
"75",15944,"+","BECv10","SWBun","SWBun/x","D0"
"76",15945,"+","BECv10","SWBun","SWBun/x","D1"
"77",15946,"+","BECv10","SWBun","SWBun/x","D2"
"78",15947,"+","BECv10","SWBun","SWBun/x","E0"
"79",15948,"+","BECv10","SWBun","SWBun/x","E1"
"80",15949,"+","BECv10","SWBun","SWBun/x","E2"
